fkprocessnode	paramname	paramvalue	pkid	primarydata	resettoggle	tkparam	tkreset	tkservice	versionstamp
00000000-1111-0000-0000-000000000000	CallDiagnosticsEnabled	1	f6e3baff-86e5-4622-86e0-373b171d4632	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DisplayFACInCDR	F	c5ca14a4-e4b2-4637-b263-1d28a137122a	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ShowMemberDNinfinalCalledPartyNumber	T	e4e18516-eb81-4890-b7ac-d3e2ee118982	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ShowMemberDNNonMaskinfinalCalledPartyNumber	T	b0c9a89e-0827-4e6c-9044-421e03782d7e	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CTINewCallAcceptTimeout	4	dcc3e037-2e13-4c51-9139-0121f6007142	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CTIGenerateDigitsInterval	250	44d23c0e-4e97-485e-b06a-556e0429b375	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CTIDialDigitsInterval	250	8e554a8c-7c32-434e-8291-f7612c519e13	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CTIAwaitFurtherDigits	F	01e20beb-a5ba-4e91-b36a-5e23a49a30c0	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CTIWildCardDNAsCalledParty	F	d178fe5b-710a-43fc-b00d-79e416872884	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	disableNonRegisteredSCCPKeepAlives	F	8fd4fdc3-196a-4c1f-bd0d-156e1ba0db64	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CallForwardNotificationAllLines	F	054cd5e1-14cb-439a-9e41-4f6ad40677fd	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	RetainMediaOnDisconnectWithPIForActiveCall	F	01cc09de-3752-4db6-8216-a7a2e461a645	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	Station2ndKeepaliveInterval	60	a7e84a17-4955-454d-9cf5-8b892b0a90ed	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	StationKeepaliveInterval	30	fb5415cb-1859-4acd-a9f7-2dec863bc90c	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	StatusEnqPollFlag	F	6a1a6c9b-104f-481d-b5ab-2214a30c0842	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	StripPoundCalledPartyFlag	T	30a3ad26-80f0-4798-8a9d-4ad5c654357c	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	TimerDusting_sec	10	6cb1f3ba-a8c9-4438-a0a4-3ed25c8f3ae4	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	TimerT301_msec	180000	486e984b-a741-4d0d-accb-3ae9743a1e3a	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	TimerT302_msec	6000	8785a32c-04a1-4e22-9e95-fece600af2a8	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
